event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Blocked,false,1,695.5,22.8,63.087003022256326,false,false,false,false,false
Shot Attempt - Blocked,false,2,1067.9,18.4,56.218842281268834,false,false,false,false,false
Shot Attempt - Wide right,false,3,339.7,12.7,41.552613148134796,false,false,false,false,false
Shot Attempt - Deflected,false,2,84.5,15.6,54.057888128617655,false,false,false,false,false
Shot Attempt - Blocked,false,1,678.0,21.6,54.68878656036681,false,false,false,false,false
Shot Attempt - Blocked,false,3,761.8,21.2,50.488439307285084,false,false,false,true,false
Shot Attempt - Deflected,false,3,522.9,20.6,63.82034063065507,false,false,false,false,false
Shot Attempt - Deflected,false,1,37.8,22.1,65.82089285331082,false,false,false,false,false
Shot Attempt - Blocked,false,2,275.8,20.6,59.136061798147075,false,false,false,false,false
Shot Attempt - Blocked,false,3,184.4,18.7,50.06942013261249,false,false,false,false,false
Shot Attempt - Deflected,false,1,148.0,18.7,61.59190869167988,false,false,false,false,false
Shot Attempt - Deflected,true,1,497.8,20.6,57.03720232036575,false,false,false,false,false
Shot Attempt - Wide right,false,3,22.9,23.3,56.02345596374313,false,false,false,false,false
Shot Attempt - Blocked,false,1,335.6,19.6,67.58731053136572,false,false,false,false,false
Shot Attempt - Deflected,false,3,116.7,12.2,36.559634724493364,false,false,false,true,false
Shot Attempt - Blocked,false,1,995.4,16.7,30.50435004695901,false,false,false,true,false
Shot Attempt - Over the net,false,3,884.5,18.3,38.927543592792304,false,false,false,false,false
Shot Attempt - Blocked,false,3,538.0,12.9,51.044092162241114,false,false,false,true,false
Shot Attempt - Blocked,false,3,229.9,20.8,63.434948822922,false,false,false,false,false
Shot Attempt - Blocked,false,3,366.9,14.9,51.084693865268754,false,false,false,false,true
Shot Attempt - Wide right,false,3,97.8,14.7,71.43967768021487,false,false,false,false,true
Shot Attempt - Blocked,false,3,530.5,15.0,0,false,false,false,false,false
Shot Attempt - Deflected,false,3,1129.0,15.2,78.5412476541228,false,false,true,false,false
Shot Attempt - Wide left,false,1,912.0,13.6,11.214914684653571,false,false,true,false,false
Shot Attempt - Deflected,false,1,113.4,19.8,75.8931952629269,false,false,false,false,false
Shot Attempt - Blocked,false,2,500.7,17.7,47.212042002048356,false,false,false,false,false
Shot Attempt - Blocked,false,2,459.3,20.1,60.107544581195434,false,false,false,false,false
Shot Attempt - Blocked,false,1,174.6,19.9,58.3136323121434,false,false,false,false,false
Shot Attempt - Blocked,false,1,741.2,22.7,56.309932474020215,false,false,false,false,false
Shot Attempt - Upper right,false,2,1066.1,6.8,41.09950625761811,false,false,false,false,false
Shot Attempt - Deflected,false,1,1046.4,13.0,13.182965158540851,false,false,false,false,false
Shot Attempt - Deflected,false,1,857.0,17.5,69.98850112189426,false,false,false,false,false
Shot Attempt - Blocked,false,1,678.2,14.7,58.339248903363405,false,false,true,false,false
Shot Attempt - Over the net,false,3,977.4,11.1,44.21517539700811,false,false,false,false,false
Shot Attempt - Wide left,false,3,918.6,15.0,25.01689347810002,false,false,false,true,true
Shot Attempt - Deflected,false,1,303.4,13.7,33.81824578980332,false,false,false,false,false
Shot Attempt - Blocked,false,3,692.4,15.7,61.05607659939843,false,false,false,false,false
Shot Attempt - Deflected,false,1,146.0,18.3,80.847660950598,false,false,false,false,false
Shot Attempt - Blocked,false,1,782.0,21.8,61.8471994364671,false,false,false,false,false
Shot Attempt - Wide left,false,2,714.3,9.0,11.023455963743139,false,false,false,false,false
Shot Attempt - Blocked,false,1,86.5,20.4,55.14554443389635,false,false,false,false,false
Shot Attempt - Deflected,false,1,632.9,16.2,86.82016988013577,false,false,false,true,false
Shot Attempt - Wide right,false,1,873.7,21.5,58.70230015811978,false,false,false,false,false
Shot Attempt - Blocked,false,3,2120.4,12.0,61.665757516875395,false,false,false,true,false
Shot Attempt - Blocked,false,2,737.3,23.0,53.3929251873925,false,false,false,false,false
Shot Attempt - Blocked,false,1,390.5,15.0,58.96778976153274,false,false,false,false,false
Shot Attempt - Wide left,false,1,1131.5,17.4,63.13018691250093,false,false,false,true,false
Shot Attempt - Deflected,false,2,149.4,17.4,33.79165568107349,false,false,false,false,true
Shot Attempt - Upper left,true,1,355.1,4.1,11.027132305060716,true,true,false,true,false
Shot Attempt - Blocked,false,3,244.9,13.0,38.8113840367584,false,false,false,false,false
Shot Attempt - Blocked,false,1,111.5,15.0,49.0444855741811,false,false,false,false,false
Shot Attempt - Blocked,false,1,370.9,18.4,3.49705973929825,false,false,false,false,false
Shot Attempt - Deflected,false,1,232.8,23.1,57.03059609653787,false,false,false,false,false
Shot Attempt - Deflected,false,1,694.7,6.9,85.0302592718897,false,false,true,false,true
Shot Attempt - Blocked,false,3,96.4,10.7,88.92917554521303,false,false,true,false,false
Shot Attempt - Blocked,false,3,869.3,12.0,37.92107839538777,false,false,false,false,false
Shot Attempt - Blocked,false,1,570.0,22.9,58.27234500699648,false,false,false,false,false
Shot Attempt - Deflected,false,1,322.5,22.1,59.31482691040487,false,false,false,false,false
Shot Attempt - Blocked,false,1,996.3,15.2,62.38697217691553,false,true,false,true,false
Shot Attempt - Wide right,false,1,514.8,18.6,6.182930165948259,false,false,false,true,false
Shot Attempt - Wide left,false,3,750.7,14.3,79.87532834460218,false,false,false,false,false
Shot Attempt - Blocked,false,3,336.5,9.2,57.03059609653787,false,false,false,false,false
Shot Attempt - Deflected,false,2,690.2,10.1,74.29136217098426,false,false,true,false,false
Shot Attempt - Blocked,false,3,651.2,16.4,53.13010235415598,false,false,false,false,false
